data-image-key,URL,regex
Archer_Tower,https://clashofclans.fandom.com/wiki/Archer_Tower/Home_Village,
Cannon,https://clashofclans.fandom.com/wiki/Cannon,
Mortar,https://clashofclans.fandom.com/wiki/Mortar,
Air_Defense,https://clashofclans.fandom.com/wiki/Air_Defense,
Wizard_Tower,https://clashofclans.fandom.com/wiki/Wizard_Tower,
Air_Sweeper,https://clashofclans.fandom.com/wiki/Air_Sweeper,
Hidden_Tesla,https://clashofclans.fandom.com/wiki/Hidden_Tesla/Home_Village,
Bomb_Tower,https://clashofclans.fandom.com/wiki/Bomb_Tower,
